"County","Activity","N"
"Multnomah, OR","Service",74764
"Multnomah, OR","Return",42362
"Multnomah, OR","Vehicle Service",1672
"Multnomah, OR","Meeting",19764
"Multnomah, OR","Goods",13531
"Multnomah, OR","Break/Meal",3873
"Multnomah, OR","Other",4431
"Washington, OR","Service",34340
"Washington, OR","Return",22974
"Washington, OR","Meeting",8671
"Washington, OR","Other",2007
"Washington, OR","Break/Meal",2049
"Washington, OR","Vehicle Service",919
"Washington, OR","Goods",7010
"Clackamas, OR","Goods",2960
"Clackamas, OR","Service",21346
"Clackamas, OR","Return",16231
"Clackamas, OR","Break/Meal",1098
"Clackamas, OR","Other",1299
"Clackamas, OR","Vehicle Service",493
"Clackamas, OR","Meeting",3801
"Clark, WA","Meeting",1894
"Clark, WA","Service",8084
"Clark, WA","Other",551
"Clark, WA","Goods",1099
"Clark, WA","Vehicle Service",233
"Clark, WA","Break/Meal",492
"Clark, WA","Return",7453
