"Arrival Time","Share","Target"
"12:00am - 12:29am",0.00285329139519209,0.0039
"12:30am - 12:59am",0.0027521905189845,0.001
"1:00am - 1:29am",0.000820040440350483,9e-04
"1:30am - 1:59am",0.000966075039317007,7e-04
"2:00am - 2:29am",0.000921141316558077,5e-04
"2:30am - 2:59am",0.000943608177937542,0.0013
"3:00am - 3:29am",0.00202201752415188,0.001
"3:30am - 3:59am",0.00228038643001573,0.0031
"4:00am - 4:29am",0.00101100876207594,0.001
"4:30am - 4:59am",0.00104470905414514,0.0013
"5:00am - 5:29am",0.0026847899348461,0.003
"5:30am - 5:59am",0.00197708380139295,0.0023
"6:00am - 6:29am",0.00281959110312289,0.0037
"6:30am - 6:59am",0.00944731521006515,0.0109
"7:00am - 7:29am",0.029959559649517,0.0359
"7:30am - 7:59am",0.04579869692204,0.0539
"8:00am - 8:29am",0.0565490900921141,0.0651
"8:30am - 8:59am",0.0690968321725455,0.0754
"9:00am - 9:29am",0.0705347113008313,0.0783
"9:30am - 9:59am",0.0675690855987419,0.0723
"10:00am - 10:29am",0.0834306897326444,0.0839
"10:30am - 10:59am",0.0618625028083577,0.0611
"11:00am - 11:29am",0.0387441024488879,0.0372
"11:30am - 11:59am",0.0462031004268704,0.0444
"12:00pm - 12:29pm",0.045967198382386,0.0445
"12:30pm - 12:59pm",0.03739609076612,0.0375
"1:00pm - 1:29pm",0.0480566164906763,0.0442
"1:30pm - 1:59pm",0.0403954167602786,0.0367
"2:00pm - 2:29pm",0.0395753763199281,0.0337
"2:30pm - 2:59pm",0.04789934846102,0.0437
"3:00pm - 3:29pm",0.0239721410918895,0.0208
"3:30pm - 3:59pm",0.0180970568411593,0.0155
"4:00pm - 4:29pm",0.027476971467086,0.0236
"4:30pm - 4:59pm",0.0117838687935295,0.0104
"5:00pm - 5:29pm",0.0117164682093911,0.0116
"5:30pm - 5:59pm",0.0113232981352505,0.0089
"6:00pm - 6:29pm",0.00335879577623006,0.0044
"6:30pm - 6:59pm",0.0033026286227814,6e-04
"7:00pm - 7:29pm",0.00438103796899573,0.0043
"7:30pm - 7:59pm",0.00454953942934172,0.0034
"8:00pm - 8:29pm",0.0015839137272523,0.0015
"8:30pm - 8:59pm",0.00147157942035498,7e-04
"9:00pm - 9:29pm",0.00390923388002696,0.0045
"9:30pm - 9:59pm",0.00394293417209616,0.0014
"10:00pm - 10:29pm",0.00140417883621658,0.0018
"10:30pm - 10:59pm",0.00133677825207818,4e-04
"11:00pm - 11:29pm",0.00240395416760279,5e-04
"11:30pm - 11:59pm",0.00240395416760279,0.0033
