"Industry","Size","N"
"Agriculture","1-19",3074
"Agriculture","20-99",43
"Agriculture","100-249",3
"Agriculture","500-999",1
"Construction","1-19",5444
"Construction","20-99",457
"Construction","100-249",42
"Construction","250-499",11
"Construction","500-999",2
"Construction","1,000-2,499",1
"Government","1-19",4106
"Government","20-99",1091
"Government","100-249",169
"Government","250-499",46
"Government","500-999",14
"Government","1,000-2,499",7
"Government","2,500-4,999",1
"Government","5,000+",1
"Health","1-19",5749
"Health","20-99",853
"Health","100-249",116
"Health","250-499",33
"Health","500-999",9
"Health","1,000-2,499",5
"Health","2,500-4,999",5
"Hotel & Real Estate","1-19",7312
"Hotel & Real Estate","20-99",1365
"Hotel & Real Estate","100-249",74
"Hotel & Real Estate","250-499",4
"Manufacturing","1-19",2100
"Manufacturing","20-99",622
"Manufacturing","100-249",154
"Manufacturing","250-499",40
"Manufacturing","500-999",22
"Manufacturing","1,000-2,499",4
"Manufacturing","5,000+",2
"Other Services","1-19",23682
"Other Services","20-99",1768
"Other Services","100-249",284
"Other Services","250-499",84
"Other Services","500-999",29
"Other Services","1,000-2,499",15
"Other Services","5,000+",1
"Retail","1-19",5396
"Retail","20-99",878
"Retail","100-249",158
"Retail","250-499",34
"Retail","500-999",2
"Transportation Handling","1-19",1191
"Transportation Handling","20-99",223
"Transportation Handling","100-249",53
"Transportation Handling","250-499",11
"Transportation Handling","500-999",3
"Transportation Handling","1,000-2,499",2
"Wholesale","1-19",4962
"Wholesale","20-99",466
"Wholesale","100-249",49
"Wholesale","250-499",13
"Wholesale","500-999",2
