"County","Vehicle","Weight"
"Washington, OR","Heavy",17510.9295
"Clackamas, OR","Medium",14004.6375
"Washington, OR","Medium",14301.851
"Multnomah, OR","Medium",31656.6115
"Clark, WA","Medium",11312.41
"Clackamas, OR","Heavy",16067.1845
"Multnomah, OR","Heavy",35098.659
"Clark, WA","Heavy",13109.724
"Washington, OR","Light",37.3945
"Clark, WA","Light",16.1335
"Multnomah, OR","Light",66.071
"Clackamas, OR","Light",34.734
"External","Heavy",69494.8405
"External","Medium",6221.6455
"External","Light",1.857
