"SCTG","Commodity","ProCon","Shipments"
1,"Live animals/fish","Consume",58
1,"Live animals/fish","Produce",65
2,"Cereal grains","Consume",186
2,"Cereal grains","Produce",184
2,"Cereal grains","Transfer",2
3,"Other ag. prods.","Consume",5209
3,"Other ag. prods.","Produce",2317
3,"Other ag. prods.","Transfer",5
4,"Animal feed","Consume",90
4,"Animal feed","Produce",142
4,"Animal feed","Transfer",1
5,"Meat/seafood","Consume",139
5,"Meat/seafood","Produce",172
6,"Milled grain prods.","Consume",140
6,"Milled grain prods.","Produce",336
6,"Milled grain prods.","Transfer",1
7,"Other foodstuffs","Consume",601
7,"Other foodstuffs","Produce",1256
7,"Other foodstuffs","Transfer",6
8,"Alcoholic beverages","Consume",232
8,"Alcoholic beverages","Produce",306
8,"Alcoholic beverages","Transfer",1
10,"Building stone","Consume",16
10,"Building stone","Produce",17
11,"Natural sands","Consume",95
11,"Natural sands","Produce",48
12,"Gravel","Consume",1282
12,"Gravel","Produce",1292
13,"Nonmetallic minerals","Consume",65
13,"Nonmetallic minerals","Produce",35
13,"Nonmetallic minerals","Transfer",2
14,"Metallic ores","Consume",32
14,"Metallic ores","Produce",32
14,"Metallic ores","Transfer",2
15,"Coal","Consume",11
17,"Gasoline","Consume",130
17,"Gasoline","Produce",250
17,"Gasoline","Transfer",1
18,"Fuel oils","Consume",87
18,"Fuel oils","Produce",141
19,"Coal-n.e.c.","Consume",208
19,"Coal-n.e.c.","Produce",423
20,"Basic chemicals","Consume",246
20,"Basic chemicals","Produce",263
20,"Basic chemicals","Transfer",242
21,"Pharmaceuticals","Consume",93
21,"Pharmaceuticals","Produce",668
22,"Fertilizers","Produce",86
22,"Fertilizers","Consume",113
22,"Fertilizers","Transfer",2
23,"Chemical prods.","Consume",216
23,"Chemical prods.","Produce",658
24,"Plastics/rubber","Consume",415
24,"Plastics/rubber","Produce",1458
24,"Plastics/rubber","Transfer",4
25,"Logs","Consume",11723
25,"Logs","Produce",13430
26,"Wood prods.","Consume",827
26,"Wood prods.","Produce",1377
26,"Wood prods.","Transfer",3
27,"Newsprint/paper","Consume",172
27,"Newsprint/paper","Produce",489
27,"Newsprint/paper","Transfer",14
28,"Paper articles","Consume",226
28,"Paper articles","Produce",627
29,"Printed prods.","Consume",1376
29,"Printed prods.","Produce",3500
30,"Textiles/leather","Consume",44
30,"Textiles/leather","Produce",345
30,"Textiles/leather","Transfer",4
31,"Nonmetal min. prods.","Consume",625
31,"Nonmetal min. prods.","Produce",1170
31,"Nonmetal min. prods.","Transfer",3
32,"Base metals","Consume",280
32,"Base metals","Produce",461
32,"Base metals","Transfer",4
33,"Articles-base metal","Consume",338
33,"Articles-base metal","Produce",1021
33,"Articles-base metal","Transfer",13
34,"Machinery","Consume",207
34,"Machinery","Produce",874
34,"Machinery","Transfer",4
35,"Electronics","Consume",3150
35,"Electronics","Produce",8503
35,"Electronics","Transfer",12
36,"Motorized vehicles","Consume",164
36,"Motorized vehicles","Produce",536
36,"Motorized vehicles","Transfer",475
37,"Transport equip.","Produce",116
37,"Transport equip.","Consume",31
38,"Precision instruments","Consume",1538
38,"Precision instruments","Produce",1058
38,"Precision instruments","Transfer",1
39,"Furniture","Consume",1888
39,"Furniture","Produce",2692
39,"Furniture","Transfer",3
40,"Misc. mfg. prods.","Consume",83
40,"Misc. mfg. prods.","Produce",355
41,"Waste/scrap","Consume",414
41,"Waste/scrap","Produce",350
