"Shipment Size","Movement Type","Shipments"
"Less than 50 lbs","IX",3140
"Less than 50 lbs","XI",67
"50 - 99 lbs","II",4884
"50 - 99 lbs","IX",15319
"50 - 99 lbs","XI",9357
"100 - 499 lbs","II",1476
"100 - 499 lbs","IX",6593
"100 - 499 lbs","XI",5134
"500 - 749 lbs","II",415
"500 - 749 lbs","IX",2020
"500 - 749 lbs","XI",1526
"750 - 999 lbs","II",542
"750 - 999 lbs","IX",2212
"750 - 999 lbs","XI",1478
"750 - 999 lbs","XX",1
"1,000 - 9,999 lbs","II",263
"1,000 - 9,999 lbs","IX",2969
"1,000 - 9,999 lbs","XI",963
"1,000 - 9,999 lbs","XX",501
"10,000 - 49,999 lbs","II",2179
"10,000 - 49,999 lbs","IX",3845
"10,000 - 49,999 lbs","XI",3394
"10,000 - 49,999 lbs","XX",46
"50,000 - 99,999 lbs","II",264
"50,000 - 99,999 lbs","IX",515
"50,000 - 99,999 lbs","XI",426
"50,000 - 99,999 lbs","XX",253
"100,000 lbs or more","II",102
"100,000 lbs or more","IX",315
"100,000 lbs or more","XI",280
"100,000 lbs or more","XX",4
