"SCTG","Commodity","Movement Type","Tonnage"
1,"Live animals/fish","EX",308.945
1,"Live animals/fish","II",67054.514
1,"Live animals/fish","IM",9278.6565
1,"Live animals/fish","IX",119502.605
1,"Live animals/fish","XI",115882.523
2,"Cereal grains","EX",2084284.4675
2,"Cereal grains","II",17818.008
2,"Cereal grains","IM",132075.0945
2,"Cereal grains","IX",703244.211
2,"Cereal grains","XI",2674023.4685
3,"Other ag. prods.","EX",1741704.578
3,"Other ag. prods.","II",148306.305
3,"Other ag. prods.","IM",72774.3985
3,"Other ag. prods.","IX",1516754.4065
3,"Other ag. prods.","XI",1662214.5315
4,"Animal feed","EX",185364.09
4,"Animal feed","II",100295.0735
4,"Animal feed","IM",37505.6115
4,"Animal feed","IX",406865.2
4,"Animal feed","XI",358899.7585
5,"Meat/seafood","EX",12430.2815
5,"Meat/seafood","II",100737.2755
5,"Meat/seafood","IM",9400.347
5,"Meat/seafood","IX",152154.369
5,"Meat/seafood","XI",439238.487
6,"Milled grain prods.","EX",52804.769
6,"Milled grain prods.","II",239346.271
6,"Milled grain prods.","IM",37918.922
6,"Milled grain prods.","IX",720719.465
6,"Milled grain prods.","XI",436299.184
7,"Other foodstuffs","EX",231447.606
7,"Other foodstuffs","II",580913.579
7,"Other foodstuffs","IM",81534.243
7,"Other foodstuffs","IX",2159212.663
7,"Other foodstuffs","XI",2469481.1185
8,"Alcoholic beverages","EX",6253.5975
8,"Alcoholic beverages","II",214961.748
8,"Alcoholic beverages","IM",17429.7975
8,"Alcoholic beverages","IX",271509.6905
8,"Alcoholic beverages","XI",834557.3705
9,"Tobacco prods.","EX",7.6875
10,"Building stone","EX",41.5415
10,"Building stone","II",29197.633
10,"Building stone","IM",66.7405
10,"Building stone","IX",55771.37
10,"Building stone","XI",47706.0845
11,"Natural sands","EX",10774.1115
11,"Natural sands","II",265797.091
11,"Natural sands","IM",8926.477
11,"Natural sands","IX",117277.5
11,"Natural sands","XI",388807.5
12,"Gravel","EX",20596.363
12,"Gravel","II",5014665
12,"Gravel","IM",234113.3655
12,"Gravel","IX",3326343.334
12,"Gravel","XI",2814825
13,"Nonmetallic minerals","EX",100922.0045
13,"Nonmetallic minerals","II",66038.2315
13,"Nonmetallic minerals","IM",127884.9155
13,"Nonmetallic minerals","IX",65586.3155
13,"Nonmetallic minerals","XI",287883.4655
14,"Metallic ores","EX",49565.5
14,"Metallic ores","II",35654.806
14,"Metallic ores","IM",344.054
14,"Metallic ores","IX",88394.7445
14,"Metallic ores","XI",7607.134
15,"Coal","EX",112.474
15,"Coal","IM",9960.6345
15,"Coal","XI",73286.5105
17,"Gasoline","EX",12651.089
17,"Gasoline","II",683458.7505
17,"Gasoline","IM",17544.624
17,"Gasoline","IX",755923.0925
17,"Gasoline","XI",365976.2105
18,"Fuel oils","EX",174640.5415
18,"Fuel oils","II",603353.4805
18,"Fuel oils","IM",15621.899
18,"Fuel oils","IX",766468.1205
18,"Fuel oils","XI",282130.9245
19,"Coal-n.e.c.","II",225660.082
19,"Coal-n.e.c.","IX",246662.231
19,"Coal-n.e.c.","XI",1090584.017
20,"Basic chemicals","EX",50834.9045
