"SCTG","Commodity","Movement Type","Tonnage"
1,"Live animals/fish","II",255.402
1,"Live animals/fish","IX",362.2815
1,"Live animals/fish","XI",375.0355
2,"Cereal grains","II",75
2,"Cereal grains","IX",7928.6695
2,"Cereal grains","XI",8781.4595
2,"Cereal grains","XX",150
3,"Other ag. prods.","II",587.784
3,"Other ag. prods.","IX",10947.5595
3,"Other ag. prods.","XI",5179.63
3,"Other ag. prods.","XX",187.5
4,"Animal feed","II",337.5
4,"Animal feed","IX",1828.135
4,"Animal feed","XI",1231.695
4,"Animal feed","XX",37.5
5,"Meat/seafood","II",267.8525
5,"Meat/seafood","IX",381.9775
5,"Meat/seafood","XI",1214.8465
6,"Milled grain prods.","II",943.957
6,"Milled grain prods.","IX",2298.119
6,"Milled grain prods.","XI",1286.8365
6,"Milled grain prods.","XX",15
7,"Other foodstuffs","II",1993.032
7,"Other foodstuffs","IX",8190.9925
7,"Other foodstuffs","XI",7840.904
7,"Other foodstuffs","XX",90
8,"Alcoholic beverages","II",568.0885
8,"Alcoholic beverages","IX",992.1475
8,"Alcoholic beverages","XI",2736.2395
8,"Alcoholic beverages","XX",15
10,"Building stone","II",60
10,"Building stone","IX",78.6315
10,"Building stone","XI",123.7815
11,"Natural sands","II",832.5
11,"Natural sands","IX",240
11,"Natural sands","XI",1230
12,"Gravel","II",15210
12,"Gravel","IX",9907.5
12,"Gravel","XI",9390
13,"Nonmetallic minerals","II",285
13,"Nonmetallic minerals","IX",660
13,"Nonmetallic minerals","XI",1034.409
13,"Nonmetallic minerals","XX",75
14,"Metallic ores","II",166.8115
14,"Metallic ores","IX",451.2575
14,"Metallic ores","XI",108.5355
14,"Metallic ores","XX",150
15,"Coal","XI",142.1785
17,"Gasoline","II",2307.6175
17,"Gasoline","IX",2852.079
17,"Gasoline","XI",1187.2645
17,"Gasoline","XX",37.5
18,"Fuel oils","II",1648.5275
18,"Fuel oils","IX",2700.6485
18,"Fuel oils","XI",841.921
19,"Coal-n.e.c.","II",633.534
19,"Coal-n.e.c.","IX",830.982
19,"Coal-n.e.c.","XI",3137.887
20,"Basic chemicals","II",983.984
20,"Basic chemicals","IX",2862.35
20,"Basic chemicals","XI",4670.754
20,"Basic chemicals","XX",9075
21,"Pharmaceuticals","II",19.1785
21,"Pharmaceuticals","IX",148.659
21,"Pharmaceuticals","XI",62.2955
22,"Fertilizers","IX",2349.3315
22,"Fertilizers","XI",3152.6575
22,"Fertilizers","XX",75
23,"Chemical prods.","II",133.124
23,"Chemical prods.","IX",1302.878
23,"Chemical prods.","XI",1048.0495
24,"Plastics/rubber","II",775.146
24,"Plastics/rubber","IX",1777.061
24,"Plastics/rubber","XI",2125.9375
24,"Plastics/rubber","XX",22
25,"Logs","II",552.7125
25,"Logs","IX",1190.15
25,"Logs","XI",820.204
26,"Wood prods.","II",6156.8095
26,"Wood prods.","IX",14205.653
26,"Wood prods.","XI",9976.705
26,"Wood prods.","XX",45
27,"Newsprint/paper","II",229.5225
27,"Newsprint/paper","IX",3273.368
27,"Newsprint/paper","XI",1767.132
27,"Newsprint/paper","XX",210
28,"Paper articles","II",1735.0265
28,"Paper articles","IX",3292.674
28,"Paper articles","XI",1628.522
29,"Printed prods.","II",509.0305
29,"Printed prods.","IX",1648.321
29,"Printed prods.","XI",1015.0035
30,"Textiles/leather","II",15.099
30,"Textiles/leather","IX",217.285
30,"Textiles/leather","XI",163.6135
30,"Textiles/leather","XX",11
31,"Nonmetal min. prods.","II",7445.4475
31,"Nonmetal min. prods.","IX",8245.627
31,"Nonmetal min. prods.","XI",3394.561
31,"Nonmetal min. prods.","XX",45
32,"Base metals","II",435.3815
32,"Base metals","IX",4377.469
32,"Base metals","XI",4009.442
32,"Base metals","XX",60
33,"Articles-base metal","II",748.831
33,"Articles-base metal","IX",1895.02
33,"Articles-base metal","XI",2690.7525
33,"Articles-base metal","XX",195
34,"Machinery","II",267.6405
34,"Machinery","IX",991.993
34,"Machinery","XI",765.771
34,"Machinery","XX",10.25
35,"Electronics","II",264.311
35,"Electronics","IX",1147.729
35,"Electronics","XI",580.0485
35,"Electronics","XX",33
36,"Motorized vehicles","II",94.1315
36,"Motorized vehicles","IX",503.303
36,"Motorized vehicles","XI",625.3005
36,"Motorized vehicles","XX",1306.25
37,"Transport equip.","IX",114.121
37,"Transport equip.","XI",76.3925
38,"Precision instruments","II",2.894
38,"Precision instruments","IX",79.6335
38,"Precision instruments","XI",96.064
38,"Precision instruments","XX",0.4375
39,"Furniture","II",388.2085
39,"Furniture","IX",748.986
39,"Furniture","XI",627.7835
39,"Furniture","XX",8.25
40,"Misc. mfg. prods.","II",258.1805
40,"Misc. mfg. prods.","IX",681.7675
40,"Misc. mfg. prods.","XI",669.128
41,"Waste/scrap","II",3892.5
41,"Waste/scrap","IX",2821.481
41,"Waste/scrap","XI",3944.631
