"SCTG","Commodity","ProCon","Tonnage"
1,"Live animals/fish","Produce",186866.064
1,"Live animals/fish","Consume",192215.6935
2,"Cereal grains","Produce",2805346.6865
2,"Cereal grains","Consume",2823916.571
3,"Other ag. prods.","Produce",3406765.2895
3,"Other ag. prods.","Consume",1883295.235
4,"Animal feed","Produce",692524.3635
4,"Animal feed","Consume",496700.4435
5,"Meat/seafood","Produce",265321.926
5,"Meat/seafood","Consume",549376.1095
6,"Milled grain prods.","Produce",1012870.505
6,"Milled grain prods.","Consume",713564.377
7,"Other foodstuffs","Produce",2971573.848
7,"Other foodstuffs","Consume",3131928.9405
8,"Alcoholic beverages","Produce",492725.036
8,"Alcoholic beverages","Consume",1066948.916
9,"Tobacco prods.","Produce",7.6875
10,"Building stone","Produce",85010.5445
10,"Building stone","Consume",76970.458
11,"Natural sands","Produce",393848.7025
11,"Natural sands","Consume",663531.068
12,"Gravel","Produce",8361604.697
12,"Gravel","Consume",8063603.3655
13,"Nonmetallic minerals","Produce",232546.5515
13,"Nonmetallic minerals","Consume",481806.6125
14,"Metallic ores","Produce",173615.0505
14,"Metallic ores","Consume",43605.994
15,"Coal","Produce",112.474
15,"Coal","Consume",83247.145
17,"Gasoline","Produce",1452032.932
17,"Gasoline","Consume",1066979.585
18,"Fuel oils","Produce",1544462.1425
18,"Fuel oils","Consume",901106.304
19,"Coal-n.e.c.","Consume",1316244.099
19,"Coal-n.e.c.","Produce",472322.313
20,"Basic chemicals","Produce",1075174.724
20,"Basic chemicals","Consume",1825948.426
21,"Pharmaceuticals","Produce",53742.89
21,"Pharmaceuticals","Consume",24893.4195
22,"Fertilizers","Produce",719787.9365
22,"Fertilizers","Consume",968665.4295
23,"Chemical prods.","Produce",400809.742
23,"Chemical prods.","Consume",326755.824
24,"Plastics/rubber","Produce",692123.992
24,"Plastics/rubber","Consume",836964.009
25,"Logs","Produce",560207.3015
25,"Logs","Consume",444647.212
26,"Wood prods.","Produce",6313811.169
26,"Wood prods.","Consume",5233299.021
27,"Newsprint/paper","Produce",1110777.0315
27,"Newsprint/paper","Consume",691824.072
28,"Paper articles","Produce",1660941.252
28,"Paper articles","Consume",961339.4055
29,"Printed prods.","Produce",617733.6115
29,"Printed prods.","Consume",391674.895
30,"Textiles/leather","Produce",89267.228
30,"Textiles/leather","Consume",82501.8395
31,"Nonmetal min. prods.","Produce",4728128.56
31,"Nonmetal min. prods.","Consume",3449332.613
32,"Base metals","Produce",1491573.354
32,"Base metals","Consume",1455199.1295
33,"Articles-base metal","Produce",796436.647
33,"Articles-base metal","Consume",1018002.141
34,"Machinery","Produce",331077.2205
34,"Machinery","Consume",243652.022
35,"Electronics","Produce",438199.649
35,"Electronics","Consume",229756.0305
36,"Motorized vehicles","Produce",181280.5645
36,"Motorized vehicles","Consume",195854.235
37,"Transport equip.","Produce",66447.9295
37,"Transport equip.","Consume",46289.26
38,"Precision instruments","Produce",26091.618
38,"Precision instruments","Consume",35340.988
39,"Furniture","Produce",352325.2935
39,"Furniture","Consume",305311.3785
40,"Misc. mfg. prods.","Produce",337772.1685
40,"Misc. mfg. prods.","Consume",211348.761
41,"Waste/scrap","Produce",2440726.054
41,"Waste/scrap","Consume",2837439.146
