"Mode","Movement Type","Tonnage"
"Air","EX",40508.5695
"Air","II",1554.7575
"Air","IM",50039.5375
"Air","IX",127556.1795
"Air","XI",17011.215
"Multiple modes","EX",6669488.03
"Multiple modes","II",797418.8275
"Multiple modes","IM",3856901.303
"Multiple modes","IX",2097242.7505
"Multiple modes","XI",4647587.0705
"Rail","II",381201.5095
"Rail","IX",1497873.337
"Rail","XI",4849570.572
"Truck","II",15172238.6325
"Truck","IX",21788688.1815
"Truck","XI",14162632.2025
"Water","II",80444.357
"Water","IX",379777.618
"Water","XI",1354480.19
