"Shipment Size","Movement Type","Tonnage"
"Less than 50 lbs","IX",36.8935
"Less than 50 lbs","XI",1.0065
"50 - 99 lbs","II",143.325
"50 - 99 lbs","IX",450.193
"50 - 99 lbs","XI",274.4715
"100 - 499 lbs","II",221.125
"100 - 499 lbs","IX",915.964
"100 - 499 lbs","XI",764.9945
"500 - 749 lbs","II",129.6075
"500 - 749 lbs","IX",624.9875
"500 - 749 lbs","XI",476.6415
"750 - 999 lbs","II",237.1175
"750 - 999 lbs","IX",964.5185
"750 - 999 lbs","XI",646.327
"750 - 999 lbs","XX",0.4375
"1,000 - 9,999 lbs","II",506.173
"1,000 - 9,999 lbs","IX",5151.2905
"1,000 - 9,999 lbs","XI",1748.976
"1,000 - 9,999 lbs","XX",1375.75
"10,000 - 49,999 lbs","II",32344.6065
"10,000 - 49,999 lbs","IX",53861.252
"10,000 - 49,999 lbs","XI",49106.9235
"10,000 - 49,999 lbs","XX",690
"50,000 - 99,999 lbs","II",9888.507
"50,000 - 99,999 lbs","IX",19088.558
"50,000 - 99,999 lbs","XI",15840.7805
"50,000 - 99,999 lbs","XX",9487.5
"100,000 lbs or more","II",7609.304
"100,000 lbs or more","IX",23432.184
"100,000 lbs or more","XI",20893.251
"100,000 lbs or more","XX",300
